0,58, Self-employed-not incorporated,4,34, Some college but no degree,0, Divorced, Construction, Precision production craft & repair, White, All other, Male, Children or Armed Forces,0,0,0, Head of household, Householder, Householder,1053.55, MSA to MSA, Same county, Same county, No, Yes,1, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
50,36, Private,33,34, High school graduate,0, Married-civilian spouse present, Retail trade, Precision production craft & repair, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,1812.0, NonMSA to nonMSA, Same county, Same county, No, No,3, United-States, United-States, United-States, Native- Born in the United States,0,2,48,94, - 50000.
67,33, Private,30,33, Associates degree-occup /vocational,0, Separated, Communications, Precision production craft & repair, White, All other, Male, Children or Armed Forces,0,2444,10000, Single, Nonfamily householder, Householder,1864.18, MSA to MSA, Same county, Same county, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, 50000+.
69,27, Self-employed-not incorporated,33,16, Bachelors degree(BA AB BS),0, Never married, Retail trade, Sales, White, All other, Male, Children or Armed Forces,0,0,0, Single, Secondary individual, Nonrelative of householder,2339.89, MSA to MSA, Same county, Same county, No, No,1, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
119,49, Private,4,2, High school graduate,0, Divorced, Construction, Executive admin and managerial, White, All other, Male, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,803.77, MSA to MSA, Same county, Same county, No, No,3, United-States, Germany, United-States, Native- Born in the United States,1,2,52,94, - 50000.
146,23, State government,43,23, Associates degree-occup /vocational,450, Married-A F spouse present, Education, Adm support including clerical, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,263.45, NonMSA to nonMSA, Different county same state, Different county same state, No, No,1, United-States, United-States, United-States, Native- Born in the United States,2,2,48,94, - 50000.
167,28, Federal government,43,7, Prof school degree (MD DDS DVM LLB JD),0, Never married, Education, Professional specialty, White, All other, Male, Children or Armed Forces,0,0,0, Single, Secondary individual, Nonrelative of householder,3395.58, MSA to MSA, Same county, Same county, No, Yes,3, United-States, United-States, United-States, Native- Born in the United States,2,2,52,94, - 50000.
174,34, Private,36,27, High school graduate,0, Divorced, Private household services, Private household services, White, Mexican-American, Female, Children or Armed Forces,0,0,0, Single, Secondary individual, Nonrelative of householder,1329.22, MSA to MSA, Same county, Same county, No, No,4, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
227,26, Private,19,31, 7th and 8th grade,0, Married-civilian spouse present, Manufacturing-nondurable goods, Other service, White, Mexican (Mexicano), Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,605.73, NonMSA to nonMSA, Same county, Same county, No, No,4, Mexico, Mexico, Mexico, Foreign born- Not a citizen of U S ,0,2,52,94, - 50000.
236,45, Private,37,12, Bachelors degree(BA AB BS),0, Married-civilian spouse present, Business and repair services, Professional specialty, White, All other, Female, Children or Armed Forces,0,0,11, Joint both under 65, Spouse of householder, Spouse of householder,1757.67, MSA to MSA, Same county, Same county, No, No,3, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
274,23, Private,33,26, Some college but no degree,0, Married-civilian spouse present, Retail trade, Adm support including clerical, Asian or Pacific Islander, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,2853.63, MSA to MSA, Same county, Same county, No, No,2, China, China, Vietnam, Foreign born- Not a citizen of U S ,0,2,52,94, - 50000.
321,22, Private,33,16, Bachelors degree(BA AB BS),0, Never married, Retail trade, Sales, White, All other, Female, Children or Armed Forces,0,0,0, Single, Child 18+ never marr Not in a subfamily, Child 18 or older,1650.78, MSA to MSA, Different county same state, Different county same state, No, No,6, United-States, United-States, United-States, Native- Born in the United States,2,2,52,94, - 50000.
341,34, Private,33,24, High school graduate,655, Divorced, Retail trade, Adm support including clerical, White, All other, Female, Children or Armed Forces,0,0,0, Head of household, Householder, Householder,374.79, Not identifiable, Same county, Same county, No, No,1, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
348,23, Private,42,13, Some college but no degree,1000, Never married, Medical except hospital, Technicians and related support, White, All other, Female, Children or Armed Forces,0,0,0, Single, Grandchild 18+ never marr not in subfamily, Other relative of householder,3761.04, MSA to MSA, Different county same state, Different county same state, No, Yes,1, United-States, United-States, United-States, Native- Born in the United States,0,2,22,94, - 50000.
362,44, Private,32,38, Some college but no degree,0, Never married, Wholesale trade, Transportation and material moving, White, All other, Male, Children or Armed Forces,0,0,0, Single, Nonfamily householder, Householder,3010.95, MSA to MSA, Same county, Same county, No, Yes,3, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
383,18, Private,33,26, High school graduate,0, Never married, Retail trade, Adm support including clerical, White, All other, Female, Children or Armed Forces,0,0,0, Single, Child 18+ never marr Not in a subfamily, Child 18 or older,3105.26, MSA to MSA, Different county same state, Different county same state, No, No,3, United-States, United-States, United-States, Native- Born in the United States,1,2,30,94, - 50000.
386,54, Private,35,2, High school graduate,0, Married-civilian spouse present, Finance insurance and real estate, Executive admin and managerial, White, All other, Male, Children or Armed Forces,0,1848,0, Joint both under 65, Householder, Householder,1558.85, MSA to MSA, Same county, Same county, No, No,4, England, United-States, England, Native- Born abroad of American Parent(s),0,2,52,94, 50000+.
387,27, Private,33,29, Some college but no degree,0, Divorced, Retail trade, Other service, White, Mexican-American, Male, Children or Armed Forces,0,0,0, Single, Secondary individual, Nonrelative of householder,3828.57, MSA to MSA, Same county, Same county, No, Yes,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
434,51, Private,42,30, High school graduate,610, Married-spouse absent, Medical except hospital, Other service, White, All other, Female, Children or Armed Forces,0,0,0, Head of household, Householder, Householder,573.61, MSA to MSA, Same county, Same county, No, No,6, United-States, United-States, United-States, Native- Born in the United States,2,2,52,94, - 50000.
484,58, Private,33,29, Some college but no degree,500, Divorced, Retail trade, Other service, Black, All other, Female, Children or Armed Forces,0,0,0, Head of household, Householder, Householder,2174.3, MSA to MSA, Different county same state, Different county same state, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
503,25, Private,43,26, Some college but no degree,0, Married-civilian spouse present, Education, Adm support including clerical, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,2437.04, MSA to MSA, Same county, Same county, No, Yes,3, United-States, United-States, United-States, Native- Born in the United States,0,2,16,94, - 50000.
567,33, Private,30,2, Masters degree(MA MS MEng MEd MSW MBA),0, Married-civilian spouse present, Communications, Executive admin and managerial, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,702.71, MSA to MSA, Different county same state, Different county same state, No, No,6, United-States, Columbia, Columbia, Native- Born abroad of American Parent(s),0,2,23,94, - 50000.
577,45, Private,42,30, 7th and 8th grade,0, Widowed, Medical except hospital, Other service, White, All other, Female, Children or Armed Forces,0,0,0, Head of household, Householder, Householder,3359.01, MSA to MSA, Same county, Same county, No, Yes,6, United-States, United-States, United-States, Native- Born in the United States,0,2,10,94, - 50000.
580,41, Self-employed-not incorporated,33,29, High school graduate,0, Married-civilian spouse present, Retail trade, Other service, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,1982.11, MSA to MSA, Different state same division, Different state in Northeast, No, No,1, United-States, United-States, United-States, Native- Born in the United States,0,2,38,94, - 50000.
614,28, Self-employed-not incorporated,37,12, Masters degree(MA MS MEng MEd MSW MBA),0, Married-civilian spouse present, Business and repair services, Professional specialty, White, All other, Female, Children or Armed Forces,0,0,0, Joint both under 65, Spouse of householder, Spouse of householder,416.15, MSA to nonMSA, Different state same division, Different state in Northeast, No, No,4, United-States, United-States, United-States, Native- Born in the United States,0,2,44,94, - 50000.
621,36, Private,25,2, Some college but no degree,0, Divorced, Manufacturing-nondurable goods, Executive admin and managerial, White, All other, Female, Children or Armed Forces,0,0,150, Head of household, Householder, Householder,1256.71, MSA to nonMSA, Different county same state, Different county same state, No, No,3, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
672,27, Private,24,36, High school graduate,0, Separated, Manufacturing-nondurable goods, Machine operators assmblrs & inspctrs, White, All other, Female, Children or Armed Forces,0,0,0, Head of household, Householder, Householder,1801.67, NonMSA to nonMSA, Same county, Same county, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
675,40, Local government,43,26, Some college but no degree,0, Married-civilian spouse present, Education, Adm support including clerical, White, All other, Female, Children or Armed Forces,0,0,700, Joint both under 65, Spouse of householder, Spouse of householder,1236.4, NonMSA to nonMSA, Same county, Same county, No, No,5, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
693,49, Private,33,19, Associates degree-academic program,0, Separated, Retail trade, Sales, White, All other, Male, Children or Armed Forces,0,0,0, Head of household, Householder, Householder,1145.78, MSA to MSA, Same county, Same county, No, No,6, United-States, United-States, United-States, Native- Born in the United States,0,2,52,94, - 50000.
706,29, Private,42,2, Associates degree-occup /vocational,0, Married-civilian spouse present, Medical except hospital, Executive admin and managerial, White, All other, Male, Children or Armed Forces,0,0,0, Joint both under 65, Householder, Householder,3285.27, MSA to MSA, Same county, Same county, No, No,6, United-States, United-States, United-States, Native- Born in the United States,1,2,52,94, - 50000.
